Intervention,Seeds,Final IQM Return,Final IQM Return CI,Final IQM Return CI Width,Peak IQM Return,Peak IQM Return CI,Peak IQM Return CI Width,Max Forgetting,Max Forgetting CI,Max Forgetting CI Width,Final Effective Rank,Final Effective Rank CI,Final Effective Rank CI Width,Final Dormant Frac,Final Dormant Frac CI,Final Dormant Frac CI Width,Peak Dormant Frac,Peak Dormant Frac CI,Peak Dormant Frac CI Width
Dense PPO,6,0.4722,"[0.4028, 1.2500]",0.8472,1.3056,"[0.7500, 1.5833]",0.8333,2.3333,"[0.2500, 3.5000]",3.2500,5.2264,"[4.6424, 6.9431]",2.3007,0.3411,"[0.2786, 0.4245]",0.1458,0.3411,"[0.2786, 0.4375]",0.1589
GMP,5,0.8333,"[0.4722, 0.8611]",0.3889,1.1111,"[1.0000, 1.2222]",0.2222,1.6667,"[0.2500, 3.0000]",2.7500,4.2344,"[4.1466, 5.0403]",0.8937,0.3698,"[0.3125, 0.4505]",0.1380,0.3750,"[0.3203, 0.4505]",0.1302
Partial Reinit,5,0.4444,"[0.2778, 0.6667]",0.3889,1.1389,"[0.9444, 1.4167]",0.4722,1.8333,"[0.5000, 2.5000]",2.0000,4.5105,"[4.2318, 6.9545]",2.7226,0.4271,"[0.3047, 0.5208]",0.2161,0.4271,"[0.3047, 0.5208]",0.2161
ReDo,5,0.6111,"[0.4167, 0.8611]",0.4444,1.1667,"[0.8611, 1.2500]",0.3889,3.1667,"[0.7500, 4.3333]",3.5833,5.3564,"[3.7419, 5.7250]",1.9831,0.4141,"[0.3750, 0.5521]",0.1771,0.4167,"[0.3750, 0.5547]",0.1797
Reset,5,0.5278,"[0.3889, 1.0278]",0.6389,1.1111,"[1.0278, 1.2500]",0.2222,1.1667,"[0.6667, 2.5000]",1.8333,4.8290,"[4.5574, 5.0871]",0.5297,0.4635,"[0.4453, 0.5391]",0.0938,0.4635,"[0.4453, 0.5391]",0.0938
SET,5,0.7222,"[0.3889, 1.0000]",0.6111,1.2222,"[1.0556, 1.3333]",0.2778,1.5000,"[0.6667, 2.0000]",1.3333,4.2737,"[3.4460, 5.5282]",2.0822,0.3646,"[0.3255, 0.4688]",0.1432,0.3672,"[0.3333, 0.4714]",0.1380
